company_name,about,website,email,investor_names,location/hq,lead/follow,initial_check_size,hardware/software,primary_stage_focus,initial_ownership_target,b2b/b2c/b2b2c,can_also_enter_at,investment_focus,does_not_invest_in,linkedin,crunchbase
Insight Partners,"Insight Partners is a global software investor partnering with high-growth technology, software, and Internet startup and ScaleUp companies that are driving transformative change in their industries.",http://www.insightpartners.com/,press@insightpartners.com,"Daniel Aronovitz, George Mathew, Ganesh Bell, Hagi Schwartz, Stu Phillips, Scott Barclay, Teddie Wardi, Rachel Geller, Don Tyler, Michael Yamnitsky, Nikhil Sachdev, Adam Berger, Richard Wells, Peter Segall, Whit Bouck, Philine Huizing, Matt Koran, Arjun Mehta, Michael Shephard, Brad Fiedler, Evan Hahn",New York,Mostly Lead,-,Agnostic,Series A,-,-,Seed,"AI / ML
Biotech
Consumer Goods
Privacy & Security
E-Commerce
Education
Future of Work
Gaming
Government
Healthcare
Real Estate",-,https://www.linkedin.com/company/insight--partners,https://www.crunchbase.com/organization/insight-partners
Inspired Capital Partners,"By leveraging our experience across consumer and enterprise technology, we strive to help businesses at the Seed and Series A stages become category-defining companies.",http://www.inspiredcapital.com/,info@inspiredcapital.com,"Alexa Von Tobel, Penny Pritzker, Mark Batsiyan, Lucy Deland, Charlotte Ross, Chris Brown, Kamran Ali",New York,Mostly Lead,-,"Software / Code
Services","Seed
Series A",-,-,Pre-Seed,"Financial Services / Payments
Real Estate
Healthcare
Social / Communities
SaaS
Education",-,https://www.linkedin.com/company/inspired-capital-partners/,https://www.crunchbase.com/organization/inspired-capital-partners
Intel Capital,"Intel Capital is a force multiplier for early-stage startups - inspiring and investing in the future of compute via investments in Cloud, Silicon, Devices, and Frontier.",http://www.intelcapital.com/,Intel.Capital@intel.com,"Srini Ananth, Jennifer Ard, Arun Chetty, Sean Doyle, Andy Fligel, Abdul Guefor, David D Johnson, Sunil N Kurkure, Ran Kurup, Mark Lydon, Tammi Smorynski, Nick Washburn",California,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"Hardware
Industrial & Manufacturing
Gaming",-,https://www.linkedin.com/company/intel-capital,https://www.crunchbase.com/organization/intel-capital
Interlace Ventures,Interlace Ventures is an early stage venture capital firm investing in founders reimagining commerce.,http://interlacevc.com/,hello@interlacevc.com,"Vincent Diallo, Erik De Stefanis, Vibhu Norby",New York,Mostly Follow,-,Software / Code,Seed,-,-,-,E-Commerce,-,https://www.linkedin.com/company/interlace-ventures,https://www.crunchbase.com/organization/interlace-ventures
International Finance Corporation,International Finance Corporation is a private equity and venture capital subsidiary focused on the private sector in developing countries.,http://www.ifc.org/,vc@ifc.org,-,District of Columbia,Mostly Follow,-,-,-,-,-,-,-,-,https://www.linkedin.com/company/ifclinkedin,https://www.crunchbase.com/organization/international-finance-corporation
Interplay,"We are a New York City-based venture capital firm focused on investing in technology-enabled businesses across Seed, Series A and Series B.",http://www.interplay.vc/,Concierge@interplay.vc,"Mark Peter Davis, Kevin W. Tung, Michael Rogers, Caroline Elliott",New York,Mostly Follow,$1-3m,Agnostic,"Seed
Series A
Series B",No Target,"B2B
B2B2C",-,"Hardware
AI / ML
Healthcare
Real Estate
Marketplaces
Financial Services / Payments
Consumer Goods
Advertising & Media
Data & Analytics
E-Commerce
Education
Future of Work
Industrial & Manufacturing
SaaS
Social / Communities
Supply Chain & Logistics
Travel & Tourism
Sales & Marketing
IaaS","Biotech, cyber security, Web3, crypto",https://www.linkedin.com/company/interplayventures,https://www.crunchbase.com/organization/interplay-ventures
Inventus Capital Partners,"We are an early stage VC, guiding & financing founders from Seed Capital to Series A.",http://www.inventuscap.com/,jk@inventuscap.com,"Kanwal Rekhi, John Dougery, Manu Rekhi",California,Mostly Follow,$1-3m,Software / Code,"Seed
Series A",-,-,-,"AI / ML
Healthcare
Financial Services / Payments
SaaS",-,http://www.linkedin.com/company/inventus-capital-partners,https://www.crunchbase.com/organization/inventus-capital-partners
Invest Nebraska,We back promising teams building companies in Nebraska.,http://investnebraska.com/,info@investnebraska.com,"Dan Hoffman, Ben Williamson",Nebraska,Mostly Lead,$100-250k,Agnostic,Seed,-,-,Pre-Seed,"Hardware
Healthcare
Financial Services / Payments
Food & Beverages
E-Commerce
Agriculture & Farming
Biotech",-,https://www.linkedin.com/company/invest-nebraska-corporation/,https://www.crunchbase.com/organization/invest-nebraska
Investissement Quebec,"As a Québec leader in venture capital, Investissement Québec invests in innovative, visionary projects that promise a bright future.",http://www.investquebec.com/,-,"Charles T., Juan Carlos Lopez Gutierrez",Quebec,Can Lead,$500k-1m,Agnostic,"Seed
Series A",-,-,-,"Industrial & Manufacturing
SaaS
Healthcare
Biotech
CleanTech / Impact / Sustainability
AI / ML",-,http://www.linkedin.com/company/investissement-quebec,https://www.crunchbase.com/organization/investissement-quebec
IOSG Ventures,Backing the best Web 3.0 founders & developers.,http://iosg.vc/,hello@iosg.vc,"Jocy Lin, Deniz Omer, Jiaping Wang,",Midland,Can Lead,"Up to $25k
$25-100k",Software / Code,Seed,-,-,-,"Web3 / Blockchain
Gaming",-,https://www.linkedin.com/company/14480831/admin/,https://www.crunchbase.com/organization/iosg-ventures
Ironspring,"Ironspring Ventures is a sector-focused venture capital fund focused on early stage, digital industrial innovation.",https://www.ironspring.com/,team@ironspring.com,"Adam Bridgman, Ty Findley, Peter J. Holt, Colleen Konetzke",Texas,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"Hardware
Industrial & Manufacturing
Supply Chain & Logistics",-,https://www.linkedin.com/company/ironspring/,https://www.crunchbase.com/organization/ironspring
irrvrntVC,"We invest in early-stage founders building in adtech, ecomm enablement, marketplaces, vertical SaaS, and fintech. Bias for strong-founder market fit.",https://irrvrnt.com/,Pitch form on my website at irrvrnt.com/#pitch,Andrew Gluck,New York,Mostly Follow,$250-500k,Software / Code,Pre-Seed,< 5%,B2B,Seed,"Advertising & Media
E-Commerce
Financial Services / Payments
Marketplaces
SaaS
Sales & Marketing","bio + health
hardware",https://www.linkedin.com/company/irrvrntvc/,
ISA Ventures,ISAV is a balanced approach to growing Iowa-based companies through multiple phases of their growth. ISAV is focused on Iowa's key industry sectors with world-class mentors and industry-leading corporate partners.,https://www.isaventures.com/,hello@isaventures.com, Eric Engelmann,Iowa,Mostly Follow,"$25-100k
$100-250k
$250-500k
$500k-1m",Agnostic,"Pre-Seed
Seed
Series A",-,-,-,"Biotech
Healthcare
Education
AI / ML
Agriculture & Farming
Food & Beverages
Financial Services / Payments
Supply Chain & Logistics",-,https://www.crunchbase.com/organization/isa-ventures,
iSELECT FUND,"At iSelect we are focused on supporting soil and crop health solutions to meet surging global protein demand, improve the taste, nutrition and affordability of food, boost farmer profitability, and increase environmental sustainability.",http://www.iselectfund.com/,cwilliams@iselectfund.com,"Carter Williams, Craig Goos, Craig Herron, David Yocom, Tom Bunn",Missouri,Mostly Follow,-,Agnostic,Seed,-,-,-,"Agriculture & Farming
Healthcare
Food & Beverages
CleanTech / Impact / Sustainability",-,http://www.linkedin.com/company/iselect-fund,https://www.crunchbase.com/organization/iselectfund
IVP,"We Look For Companies With A Clear Vision, Established Product-Market Fit And The Beginnings Of A Strong Go-To-Market Motion That, With An Influx Of Capital And Expertise, Are Poised To Develop Into Dominant Players.",https://www.ivp.com/,pr@ivp.com,"Ajay Vashee, Cack Wilhelm, Dennis Phelps, Eric Liaw, , Jules Maltz, Somesh Dash, Steve Harrick, Tom Loverro",California,Mostly Follow,> $3m,Software / Code,"Series A
Series B
Growth",-,-,-,"AI / ML
Healthcare
IaaS
Financial Services / Payments
Web3 / Blockchain
Gaming
SaaS",-,https://www.linkedin.com/company/ivpvc,https://www.crunchbase.com/organization/institutional-venture-partners
J Ventures,"We're an early stage venture fund based in NYC. We move fast on decisions, are patient with growth timelines, and hustle to help entrepreneurs reach their goals.",http://www.jventures.com/,team@jventures.com,"John Nordin, Leonard Langenscheidt",New York,Mostly Follow,-,Agnostic,Seed,-,-,-,"Hardware
AI / ML
Consumer Goods
Food & Beverages
Data & Analytics
Marketplaces
Financial Services / Payments
Healthcare",-,https://www.linkedin.com/company/j-ventures/,https://www.crunchbase.com/organization/j-ventures
Jackson Square Ventures,We are early stage investors in software and marketplace businesses across categories.,https://jsv.com/,info@jsv.com,"Bob Spinner, Greg Gretsch, Pete Solvik, Victor Echevarria",California,Mostly Follow,-,Software / Code,Seed,-,-,-,"SaaS
Marketplaces",-,http://www.linkedin.com/company/jsv-vc,https://www.crunchbase.com/organization/jsv
JAM Fund,JAM Fund is a venture capital firm investing in visionary founders disrupting large spaces.,http://jamfund.com/,-,-,California,Mostly Lead,-,Agnostic,"Pre-Seed
Seed",-,-,-,"Social / Communities
Healthcare
Financial Services / Payments
Marketplaces
E-Commerce
Hardware",-,https://www.crunchbase.com/organization/jam-fund,
January Ventures,"We invest early and opens doors for the visionary founders of the future. We believe the founders of the next decade will look fundamentally different: more female, more diverse and more distributed. Our firm is built on the principles of transparency and access, and we back founders based on their tenacity and ambition, not their pedigrees or who they know. ",http://january.ventures/,hello@january.ventures,"Jennifer Keiser Neundorfer, Maren Thomas Bannon",Massachusetts,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,"Healthcare
Data & Analytics
Financial Services / Payments
Future of Work
E-Commerce",-,https://www.linkedin.com/company/january-ventures/,https://www.crunchbase.com/organization/january-ventures
Javelin Venture Partners,Javelin Venture Partners was founded by entrepreneurs. We draw on our entrepreneurial roots to help the next generation of founders build world-changing companies.,http://javelinvp.com/,info@javelinvp.com,"Noah J. Doyle, Jed Katz, Alex Gurevich, Tasnia Huque",California,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,-,"AI / ML
Healthcare
Marketplaces",-,https://www.linkedin.com/company/javelin-venture-partners/,https://www.crunchbase.com/organization/javelin-venture-partners
Jazz Venture Partners,"JAZZ invests in companies that unlock human potential. We seek breakthroughs at the convergence of technology, science, and humanity — improving how we live, work, and experience the world. JAZZ targets early and growth stage companies in enterprise, wellness, healthcare, and consumer markets.",http://www.jazzvp.com/,info@jazzvp.com,"Andrew Firlik, John F. Harris, Zack Lynch, John Spinale, Allison Williams, Amanda Way",California,Mostly Follow,-,Agnostic,Seed,-,-,-,"SaaS
Healthcare
AI / ML
Hardware
Marketplaces",-,https://www.linkedin.com/company/jazz-venture-partners,https://www.crunchbase.com/organization/jazz-venture-partners
Jedar Capital,"Jedar Capital is an emerging VC firm with a startup mindset, founded by a technology veteran. We focus on post-revenue, early stage startups from Seed to Series A, that have reached a kind of product-market fit and is showing a good traction and month over month growth.We target startups in emerging markets in Middle East, Africa & some parts of Emerging Asia.",https://www.jedarcapital.co/,hello@jedarcapital.com,Sherif Nessim,New York,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"Financial Services / Payments
Healthcare
Food & Beverages
SaaS
E-Commerce
Supply Chain & Logistics
Marketplaces
Industrial & Manufacturing",-,https://www.linkedin.com/company/jedar-capital/,https://www.crunchbase.com/organization/jedar-capital
Joyance Partners,Joyance Is The First Venture Fund Family Focused On Finding And Growing Companies That Deliver Delightful Moments Derived From Science.,https://www.joyancepartners.com/,nicole@joyancepartners.com,Mike Edelhart,California,Mostly Follow,-,Agnostic,"Pre-Seed
Seed
Series A",-,-,-,Biotech,-,https://www.linkedin.com/company/joyance-partners/about/,https://www.crunchbase.com/organization/joyance-partners
Julian Capital,"We focus on deep tech, but opportunistically invest across sectors.",https://www.julian.capital/,-,"Julian Shapiro, Mat Vogels, Monty Ngan",California,Can Lead,"$100-250k
$250-500k",Agnostic,Seed,-,Agnostic,-,"Marketplaces
SaaS
Data & Analytics
Hardware",-,https://www.linkedin.com/company/julian-capital/,https://www.crunchbase.com/organization/julian-capital
Jump Capital,"Jump Capital is a thesis-led, sector-focused, and operating-centric venture capital firm specializing in Seed/Series A.

Jump invests in data-driven technology companies within the FinTech, B2B SaaS, IT/Data Infrastructure, and Media sectors. With offices in Chicago and New York, Jump provides advocacy and support through a platform of institutional-level resources for entrepreneurs.",http://www.jumpcap.com/,info@jumpcap.com,"- Sach Chitnis, Partner & Co-Founder
- Mike McMahon, Partner & Co-Founder 
- Yelena Shkolnik, Partner 
- Tarun Gupta, Partner 
- Saaya Nath, Partner",Illinois,Mostly Lead,"$1-3m
> $3m",Software / Code,"Seed
Series A","7-10%
10-12%",B2B,"Pre-Seed
Series B","Financial Services / Payments
IaaS
SaaS
AI / ML
Future of Work
Privacy & Security",-,http://www.linkedin.com/company/jump-capital,https://www.crunchbase.com/organization/jump-capital
Jump Crypto,"We are engineers, investors and traders consumed by building the future of web3.",https://jumpcrypto.com/,contact@jumpcrypto.com,Saurabh Sharma,Illinois,Mostly Lead,-,Software / Code,Seed,-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/jump-crypto/,https://www.crunchbase.com/organization/jump-crypto
